new_value;old_value
slightly damaged;gesund, leicht geschädigt
more severely damaged;stärker geschädigt
dead;absterbend/tot
good;gut
average;mittel
bad;schlecht
deficient;abgängig
youth phase;Jugendphase
maturity phase;Reifephase
age phase;Altersphase
dead wood;Totholz
pruning wounds;Astungswunden oder -fäulen
branch fracture;Astab- bzw. Ausbrüche
extraneous vegetation;Baumfremder Bewuchs
clearance;Lichter Raum
pollarding spot;Kappungsstellen
crown cabling;Kronensicherungen
decay;Fäulen
cavity;Höhlungen
crown defects;Fehlentwicklungen in der Krone
bark damage;Rindenschäden
twin stem;Zwiesel
epicormic branches or stems;Ständer, Steiläste
fungi;Pilzbefall
cracks;Astrisse
foliage (abnormalities, leaf diseases);Belaubung (Auffälligkeiten, Blattkrankheiten)
pests;Schadinsekten
root injuries;Wurzelverletzungen
clearing;Freistellung
soil deposition;Bodenauftrag
soil removal;Bodenabtrag
soil compaction;Bodenverdichtung
excavations/trenches;Baugruben/-gräben
soil sealing;Bodenversiegelung
fungi;Pilzbefall
pests;Schadinsekten
soil heaving;Bodenaufwölbung
soil saturation;Bodenvernässung
soil cracks;Bodenrisse
groundwater lowering / flooding;Grundwasserabsenkung /-anstauungen
pruning wounds;Astungswunden
injuries;Verletzungen
extraneous vegetation;Baumfremder Bewuchs
decay;Fäulen
cavity;Höhlungen
bark damage;Rindenschäden
clearance;Lichter Raum
fungi;Pilzbefall
trunk sprouts;Stammaustriebe
twin stem;Zwiesel
cracks;Risse
sap oozing;Ausfluss
growth anomalies;Wuchsanomalien
compensatory growth;Kompensationswachstum
threaded bars, seals, drainage pipes;Gewindestangen, Plomben, Entwässerungsrohre
pests;Schadinsekten
inclination;Schrägstand
injuries;Verletzungen
bark damage;Rindenschäden
cracks;Risse
adventitious root;Adventiv-, Würgewurzeln
cavity;Höhlungen
fungi;Pilzbefall
compensatory growth;Kompensationswachstum
basal sprouts;Stockaustriebe
growth anomalies;Wuchsanomalien
pests;Schadinsekten
trunk rot;Stockfäule
wounds;Wunden
bats;Fledermäuse
insects;Insekten
mammals;Säugetiere
birds;Vögel
fungi;Pilze
lichens;Flechten
cracks/crevices;Spalten/Risse
cavities/holes;Höhlungen/Löcher
ivy;Efeu
debris;Mulm
nest;Nest
perch;Horst
low (<years);gering (< 15Jahre)
medium (15-30 years);mittel (15-30 Jahre)
high (30-60 years);hoch (30-60 Jahre)
very high (> 60 years);sehr hoch (> 60 Jahre)
deadwood removal;Totholzentfernung
deadwood removal (< 3 cm);
deadwood removal (3 – cm);
deadwood removal (> cm);
clearance pruning;Lichtraumprofilschnitt
clearance pruning (sidewalk);
clearance pruning (road);
clearance pruning (building);
clearance pruning (railway);
formative pruning of young trees;Jungbaumpflege (Erziehungs- und Aufbauschnitt)
crown maintenance/crown cleaning;Kronenpflege
crown cabling;Kronensicherung
removal of tree bindings and trunk protection material on young trees;Abbau von Baumverankerungen und Stammschutzmaterialien bei Jungbäumen
detailed inspection;eingehende Untersuchung
detailed inspection using acoustic tomography;eingehende Untersuchung Schalltomographie
